 ,Area,Mean,Min,Max
1,455,255,255,255
2,310,255,255,255
3,308,255,255,255
4,406,255,255,255
5,306,255,255,255
6,380,255,255,255
7,478,255,255,255
8,315,255,255,255
9,423,255,255,255
10,285,255,255,255
11,275,255,255,255
12,318,255,255,255
13,380,255,255,255
14,338,255,255,255
15,303,255,255,255
16,434,255,255,255
17,357,255,255,255
18,416,255,255,255
19,291,255,255,255
20,312,255,255,255
21,431,255,255,255
22,352,255,255,255
23,319,255,255,255
24,368,255,255,255
25,343,255,255,255
26,411,255,255,255
27,302,255,255,255
28,414,255,255,255
29,317,255,255,255
30,276,255,255,255
31,383,255,255,255
32,353,255,255,255
33,335,255,255,255
34,317,255,255,255
35,354,255,255,255
36,311,255,255,255
37,370,255,255,255
38,314,255,255,255
39,288,255,255,255
40,306,255,255,255
41,387,255,255,255
42,500,255,255,255
43,362,255,255,255
44,294,255,255,255
45,390,255,255,255
46,285,255,255,255
47,359,255,255,255
48,446,255,255,255
49,415,255,255,255
50,323,255,255,255
51,282,255,255,255
52,308,255,255,255
53,309,255,255,255
54,354,255,255,255
55,362,255,255,255
56,198,255,255,255
57,357,255,255,255
58,216,255,255,255
59,170,255,255,255
60,498,255,255,255
61,313,255,255,255
62,491,255,255,255
63,359,255,255,255
64,306,255,255,255
65,259,255,255,255
66,364,255,255,255
67,305,255,255,255
68,270,255,255,255
69,354,255,255,255
70,358,255,255,255
71,282,255,255,255
72,270,255,255,255
73,229,255,255,255
74,329,255,255,255
75,281,255,255,255
76,464,255,255,255
77,332,255,255,255
78,247,255,255,255
79,369,255,255,255
80,383,255,255,255
81,276,255,255,255
82,365,255,255,255
83,369,255,255,255
84,331,255,255,255
85,353,255,255,255
86,309,255,255,255
87,252,255,255,255
88,309,255,255,255
89,465,255,255,255
90,355,255,255,255
91,329,255,255,255
92,313,255,255,255
93,370,255,255,255
94,368,255,255,255
95,301,255,255,255
96,318,255,255,255
97,289,255,255,255
98,219,255,255,255
99,374,255,255,255
100,299,255,255,255
101,295,255,255,255
102,295,255,255,255
103,386,255,255,255
104,326,255,255,255
105,232,255,255,255
106,385,255,255,255
107,361,255,255,255
108,426,255,255,255
109,463,255,255,255
110,303,255,255,255
111,412,255,255,255
112,339,255,255,255
113,328,255,255,255
114,412,255,255,255
115,247,255,255,255
116,227,255,255,255
117,299,255,255,255
118,346,255,255,255
119,317,255,255,255
120,434,255,255,255
121,334,255,255,255
122,348,255,255,255
123,433,255,255,255
124,394,255,255,255
125,313,255,255,255
126,292,255,255,255
127,337,255,255,255
128,305,255,255,255
129,433,255,255,255
130,351,255,255,255
131,358,255,255,255
132,266,255,255,255
133,330,255,255,255
134,480,255,255,255
135,364,255,255,255
136,150,255,255,255
137,147,255,255,255
138,273,255,255,255
139,258,255,255,255
140,282,255,255,255
141,438,255,255,255
142,201,255,255,255
143,319,255,255,255
144,273,255,255,255
145,441,255,255,255
146,357,255,255,255
147,316,255,255,255
148,329,255,255,255
149,328,255,255,255
150,309,255,255,255
151,273,255,255,255
152,348,255,255,255
153,370,255,255,255
154,237,255,255,255
155,335,255,255,255
156,318,255,255,255
157,438,255,255,255
158,264,255,255,255
159,415,255,255,255
160,397,255,255,255
161,323,255,255,255
162,344,255,255,255
163,386,255,255,255
164,404,255,255,255
165,276,255,255,255
166,428,255,255,255
167,479,255,255,255
168,231,255,255,255
169,449,255,255,255
170,393,255,255,255
171,341,255,255,255
172,290,255,255,255
173,431,255,255,255
174,306,255,255,255
175,343,255,255,255
176,260,255,255,255
177,324,255,255,255
178,327,255,255,255
179,313,255,255,255
180,371,255,255,255
181,340,255,255,255
182,294,255,255,255
183,324,255,255,255
184,89,255,255,255
185,478,255,255,255
186,309,255,255,255
187,175,255,255,255
188,221,255,255,255
189,395,255,255,255
190,328,255,255,255
191,258,255,255,255
192,364,255,255,255
193,59,255,255,255
194,400,255,255,255
195,216,255,255,255
196,310,255,255,255
197,263,255,255,255
198,230,255,255,255
199,434,255,255,255
200,325,255,255,255
201,388,255,255,255
202,292,255,255,255
203,343,255,255,255
204,152,255,255,255
205,309,255,255,255
206,454,255,255,255
207,357,255,255,255
208,224,255,255,255
209,260,255,255,255
210,366,255,255,255
211,402,255,255,255
212,283,255,255,255
213,377,255,255,255
214,391,255,255,255
215,318,255,255,255
216,466,255,255,255
217,379,255,255,255
218,410,255,255,255
219,419,255,255,255
220,209,255,255,255
221,303,255,255,255
222,344,255,255,255
223,346,255,255,255
224,398,255,255,255
225,375,255,255,255
226,253,255,255,255
227,447,255,255,255
228,297,255,255,255
229,424,255,255,255
230,398,255,255,255
231,328,255,255,255
232,428,255,255,255
233,376,255,255,255
234,294,255,255,255
235,268,255,255,255
236,263,255,255,255
237,173,255,255,255
238,279,255,255,255
239,257,255,255,255
240,414,255,255,255
241,338,255,255,255
242,288,255,255,255
243,379,255,255,255
244,242,255,255,255
245,279,255,255,255
246,440,255,255,255
247,333,255,255,255
248,368,255,255,255
249,253,255,255,255
250,277,255,255,255
251,465,255,255,255
252,254,255,255,255
253,463,255,255,255
254,280,255,255,255
255,481,255,255,255
256,279,255,255,255
257,354,255,255,255
258,362,255,255,255
259,395,255,255,255
260,358,255,255,255
261,340,255,255,255
262,293,255,255,255
263,482,255,255,255
264,324,255,255,255
265,201,255,255,255
266,169,255,255,255
267,231,255,255,255
268,435,255,255,255
269,252,255,255,255
270,165,255,255,255
271,418,255,255,255
272,296,255,255,255
273,271,255,255,255
274,370,255,255,255
275,396,255,255,255
276,281,255,255,255
277,386,255,255,255
278,342,255,255,255
279,291,255,255,255
280,392,255,255,255
281,458,255,255,255
282,401,255,255,255
283,283,255,255,255
284,341,255,255,255
285,238,255,255,255
286,272,255,255,255
287,485,255,255,255
288,230,255,255,255
289,297,255,255,255
290,311,255,255,255
291,461,255,255,255
292,395,255,255,255
293,437,255,255,255
294,448,255,255,255
295,235,255,255,255
296,415,255,255,255
297,487,255,255,255
298,397,255,255,255
299,324,255,255,255
300,351,255,255,255
301,468,255,255,255
302,271,255,255,255
303,310,255,255,255
304,338,255,255,255
305,230,255,255,255
306,412,255,255,255
307,225,255,255,255
308,329,255,255,255
309,250,255,255,255
